Id,Title,Uri,Rank,Sale7,SaleAll,Volumn7,VolumnAll
cG9zdDoyMjE=,CryptoPunks,/project/cryptopunks/,1,169,27844,16704859.374611503,2776785940.1732626
cG9zdDo1MzM5,Bored Ape Yacht Club,/project/boredapeclub/,2,532,151677,16505501.116490796,5512528784.463461
cG9zdDoxMjYwNA==,Azuki,/project/azuki/,3,1253,95360,14236562.221162522,1204319198.013178
cG9zdDo2MzU0,Loot,/project/loot/,4,45,23086,8606115.557066547,1424427598.730857
cG9zdDoyMTI0NQ==,Otherside,/project/otherside/,5,596,167250,3742636.7588169347,1522162497.7247965
cG9zdDoyMjc0Mw==,Milady,/project/milady/,6,708,38744,2790647.792113031,46647667.53869901
cG9zdDozMjAz,Art Blocks,/project/artblocks/,7,471,446250,1632886.5257470403,1720078633.6278267
cG9zdDo2NDcwMw==,Memeland,/project/memeland/,8,185,27194,1305496.2666923422,59630658.79737289
cG9zdDo4ODIz,Doodles,/project/doodles/,9,478,102917,1238951.7774533187,635699891.3111694
cG9zdDo2MDMz,Pudgy Penguins,/project/pudgypenguins/,10,544,114084,1038720.2331957099,270051447.4895722
cG9zdDoxMDk3MA==,CloneX,/project/clonex/,11,156,33590,997738.7916618574,835381475.914155
cG9zdDo2NTA3NA==,Pixelmon,/project/pixelmon/,12,545,31347,827959.6078926114,121885560.68710284
cG9zdDo2NDc1Mg==,Admit One,/project/admitone/,13,85,993,642564.0228286246,11665763.789842993
cG9zdDo0Njc4,Meebits,/project/meebits/,14,110,43001,622199.906719793,1071335817.2081063
cG9zdDoyNDM=,SuperRare,/project/superrare/,15,76,38957,583057.1742771537,287332645.20354843
cG9zdDo2NTY2MA==,Emblem Vault,/project/emblemvault/,16,672,40021,556313.877802614,139795942.4470128
cG9zdDo2Njk3Mw==,RENGA,/project/renga/,17,322,38109,501536.05854879745,70070809.50205556
cG9zdDo4NzY0,Nouns,/project/nouns/,18,10,1375,468995.3443,277845272.69651556
cG9zdDoyOTM=,Ethereum Name Service,/project/ethereumnameservice/,19,7725,3266570,439559.5179583603,282033008.66436684
cG9zdDoyMjc5NA==,KILLABEARS,/project/killabears/,20,57,15528,382900.9079018474,27426639.11510791
cG9zdDoyMDU0Mw==,Moonbirds,/project/moonbirds/,21,169,39861,379786.9038846117,668792286.2820638
cG9zdDoxMDA0Mg==,Wolf Game,/project/wolfgame/,22,321,102792,328787.66843350517,233373364.36128005
cG9zdDoyOTA=,The Sandbox,/project/thesandbox/,23,314,179764,299402.1910360378,577777322.4183418
cG9zdDoxNzAxMg==,V1 Punks (Wrapped),/project/v1punks/,24,33,3424,287179.0088119204,78717170.22701035
cG9zdDoxMDMwNQ==,mfers,/project/mfers/,25,127,45070,273838.7447309339,137297904.73954
cG9zdDoyMjk0OA==,rektguy,/project/rektguy/,26,173,21640,268705.40466508496,31639442.85956568
cG9zdDoxODA5MA==,Invisible Friends,/project/invisiblefriends/,27,83,13473,268392.68773041846,126309545.77424315
cG9zdDo2MDEy,Cool Cats,/project/coolcats/,28,327,84372,266277.0979252785,483367401.5535484
cG9zdDo3Nzc2,Sneaky Vampire Syndicate,/project/sneakyvampiresyndicate/,29,39,50427,253048.62280684,85838711.45219854
cG9zdDo4ODg0,ETHEREALS,/project/ethereals/,30,54,25648,238412.4399329075,6966856.0401324835
cG9zdDo5NTQ0,OnChainMonkey,/project/onchainmonkey/,31,106,32154,227773.76317469505,48026480.634327404
cG9zdDoxODk1Mg==,More Than Gamers,/project/morethangamers/,32,28,30158,223669.0244325765,35496104.097498395
cG9zdDoxMjE3MQ==,Alpha Girl Club,/project/alphagirlclub/,33,41,21481,223393.51086134,14290277.500698451
cG9zdDo2NjY5,Nifty Gateway,/project/niftygateway/,34,72,16875,207861.63385305004,115193479.41877598
cG9zdDo4ODgx,Neo Tokyo,/project/neotokyo/,35,97,14133,180934.5625462,259675241.10919097
cG9zdDoyODgwNTM=,Kanpai Pandas,/project/kanpaipandas/,36,54,9770,179629.09163188183,14385997.344355343
cG9zdDo5MTMy,NFT Worlds,/project/nftworlds/,37,98,40529,166420.73351158877,169354255.40321892
cG9zdDoyMjc1Mw==,Imaginary Ones,/project/imaginaryones/,38,93,27292,162623.102746155,46671496.546955906
cG9zdDo1NTcx,VeeFriends,/project/veefriends/,39,135,50222,151921.7183867755,334114721.5459404
cG9zdDoxODgzMA==,Loser Club,/project/loserclub/,40,95,30631,151830.45504263573,18584597.153113324
cG9zdDo1MjA=,Async Art,/project/asyncart/,41,14,17240,151622.004727284,18901827.060560655
cG9zdDoyMjkxNg==,goblintown,/project/goblintown/,42,216,54775,146699.30309781316,120984036.12643881
cG9zdDo2NjY4,World of Women,/project/worldofwomen/,43,140,37524,144548.13459917626,270376291.51449734
cG9zdDo2NTU5Mw==,Genuine Undead,/project/genuineundead/,44,358,55894,142260.36567516168,19844595.53204378
cG9zdDoyMDc5OA==,PROOF Collective,/project/proofcollective/,45,11,4107,141794.6747542251,82459875.95421976
cG9zdDoxMzYzNw==,Quirkies,/project/quirkies/,46,251,42655,141527.9374288116,55383925.591311425
cG9zdDo1OTk5,FLUF World,/project/flufworld/,47,103,56526,137013.86579990535,174506788.76805192
cG9zdDo3MzM0,Treeverse,/project/treeverse/,48,182,31414,112848.71059670606,79497864.07434699
cG9zdDo1MTA1,Influence,/project/influence/,49,388,20939,106671.12702816147,10301904.596782986
cG9zdDoxODAwMg==,CyberBrokers,/project/cyberbrokers/,50,85,24049,100321.3771099519,95557901.75769717
cG9zdDoyMjk1NA==,Murakami.Flowers,/project/murakamiflowers/,51,65,8447,97547.205959048,49272277.452824734
cG9zdDo2NjYw,0n1 Force,/project/0n1force/,52,61,38146,89993.60379303532,174887613.8120703
cG9zdDoyMjc4Nw==,IVY BOYS,/project/ivyboys/,53,232,24695,89924.0959209019,9386628.623718787
cG9zdDo3MDg3,CryptoDickbutts S3,/project/cryptodickbutts/,54,29,20398,88985.63357091698,40856295.246172875
cG9zdDo3NTU2,CrypToadz,/project/cryptoadz/,55,45,31442,88773.85883049238,254108238.05375704
cG9zdDoxMTA3Mg==,My Pet Hooligan,/project/mypethooligan/,56,88,36478,88137.7632482,58403379.85273864
cG9zdDoyMjc0OA==,Chimpers,/project/chimpers/,57,58,13647,85355.574795697,33616704.01191357
cG9zdDoxODg5MA==,Degen Toonz,/project/degentoonz/,58,128,37867,84911.00424894718,52445563.01585515
cG9zdDo4Mg==,Decentraland,/project/decentraland/,59,60,105409,68215.8584347698,230571730.412655
